state,fatal_collision,lat,lon,speeding,alcohol_impaired,not_distracted,no_previous_accident,car_insurance_premium,losses_per_driver
Alabama,18.8,32.806671,-86.79113,39,30,96,80,784.55,145.08
Alaska,18.1,61.370716,-152.404419,41,25,90,94,1053.48,133.93
Arizona,18.6,33.729759,-111.431221,35,28,84,96,899.47,110.35
Arkansas,22.4,34.969704,-92.373123,18,26,94,95,827.34,142.39
California,12,36.116203,-119.681564,35,28,91,89,878.41,165.63
Colorado,13.6,39.059811,-105.311104,37,28,79,95,835.5,139.91
Connecticut,10.8,41.597782,-72.755371,46,36,87,82,1068.73,167.02
Delaware,16.2,39.318523,-75.507141,38,30,87,99,1137.87,151.48
District of Columbia,5.9,38.897438,-77.026817,34,27,100,100,1273.89,136.05
Florida,17.9,27.766279,-81.686783,21,29,92,94,1160.13,144.18
Georgia,15.6,33.040619,-83.643074,19,25,95,93,913.15,142.8
Hawaii,17.5,21.094318,-157.498337,54,41,82,87,861.18,120.92
Idaho,15.3,44.240459,-114.478828,36,29,85,98,641.96,82.75
Illinois,12.8,40.349457,-88.986137,36,34,94,96,803.11,139.15
Indiana,14.5,39.849426,-86.258278,25,29,95,95,710.46,108.92
Iowa,15.7,42.011539,-93.210526,17,25,97,87,649.06,114.47
Kansas,17.8,38.5266,-96.726486,27,24,77,85,780.45,133.8
Kentucky,21.4,37.66814,-84.670067,19,23,78,76,872.51,137.13
Louisiana,20.5,31.169546,-91.867805,35,33,73,98,1281.55,194.78
Maine,15.1,44.693947,-69.381927,38,30,87,84,661.88,96.57
Maryland,12.5,39.063946,-76.802101,34,32,71,99,1048.78,192.7
Massachusetts,8.2,42.230171,-71.530106,23,35,87,80,1011.14,135.63
Michigan,14.1,43.326618,-84.536095,24,28,95,77,1110.61,152.26
Minnesota,9.6,45.694454,-93.900192,23,29,88,88,777.18,133.35
Mississippi,17.6,32.741646,-89.678696,15,31,10,100,896.07,155.77
Missouri,16.1,38.456085,-92.288368,43,34,92,84,790.32,144.45
Montana,21.4,46.921925,-110.454353,39,44,84,85,816.21,85.15
Nebraska,14.9,41.12537,-98.268082,13,35,93,90,732.28,114.82
Nevada,14.7,38.313515,-117.055374,37,32,95,99,1029.87,138.71
New Hampshire,11.6,43.452492,-71.563896,35,30,87,83,746.54,120.21
New Jersey,11.2,40.298904,-74.521011,16,28,86,78,1301.52,159.85
New Mexico,18.4,34.840515,-106.248482,19,27,67,98,869.85,120.75
New York,12.3,42.165726,-74.948051,32,29,88,80,1234.31,150.01
North Carolina,16.8,35.630066,-79.806419,39,31,94,81,708.24,127.82
North Dakota,23.9,47.528912,-99.784012,23,42,99,86,688.75,109.72
Ohio,14.1,40.388783,-82.764915,28,34,99,82,697.73,133.52
Oklahoma,19.9,35.565342,-96.928917,32,29,92,94,881.51,178.86
Oregon,12.8,44.572021,-122.070938,33,26,67,90,804.71,104.61
Pennsylvania,18.2,40.590752,-77.209755,50,31,96,88,905.99,153.86
Rhode Island,11.1,41.680893,-71.51178,34,38,92,79,1148.99,148.58
South Carolina,23.9,33.856892,-80.945007,38,41,96,81,858.97,116.29
South Dakota,19.4,44.299782,-99.438828,31,33,98,86,669.31,96.87
Tennessee,19.5,35.747845,-86.692345,21,29,82,81,767.91,155.57
Texas,19.4,31.054487,-97.563461,40,38,91,87,1004.75,156.83
Utah,11.3,40.150032,-111.862434,43,16,88,96,809.38,109.48
Vermont,13.6,44.045876,-72.710686,30,30,96,95,716.2,109.61
Virginia,12.7,37.769337,-78.169968,19,27,87,88,768.95,153.72
Washington,10.6,47.400902,-121.490494,42,33,82,86,890.03,111.62
West Virginia,23.8,38.491226,-80.954453,34,28,97,87,992.61,152.56
Wisconsin,13.8,44.268543,-89.616508,36,33,39,84,670.31,106.62
Wyoming,17.4,42.755966,-107.30249,42,32,81,90,791.14,122.04